content,content_cleaned,label
"I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967. I also heard that at first it was seized by U.S. customs if it ever tried to enter this country, therefore being a fan of films considered ""controversial"" I really had to see this for myself.<br /><br />The plot is centered around a young Swedish drama student named Lena who wants to learn everything she can about life. In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States. In between asking politicians and ordinary denizens of Stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.<br /><br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago, this was considered pornographic. Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno. While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema. Even Ingmar Bergman, arguably their answer to good old boy John Ford, had sex scenes in his films.<br /><br />I do commend the filmmakers for the fact that any sex shown in the film is shown for artistic purposes rather than just to shock people and make money to be shown in pornographic theaters in America. I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema. But really, this film doesn't have much of a plot.",rent CURIOUS yellow video store controversy surround release 1967 hear seize U.S. custom try enter country fan film consider controversial myself.<br /><br />The plot center young swedish drama student name Lena want learn life particular want focus attention make sort documentary average Swede think certain political issue Vietnam War race issue United States ask politician ordinary denizen Stockholm opinion politic sex drama teacher classmate marry men.<br /><br />What kill CURIOUS YELLOW 40 year ago consider pornographic sex nudity scene far shoot like cheaply porno countryman mind find shocking reality sex nudity major staple swedish cinema Ingmar Bergman arguably answer good old boy John Ford sex scene films.<br /><br />i commend filmmaker fact sex show film show artistic purpose shock people money show pornographic theater America CURIOUS YELLOW good film want study meat potato pun intend swedish cinema film plot,0
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level. As for the claim that frontal male nudity is an automatic NC-17, that isn't true. I've seen R-rated films with male nudity. Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia? Nowhere, because they don't exist. The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight. And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny. Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man. In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica. This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.",curious Yellow risible pretentious steaming pile matter political view film hardly take seriously level claim frontal male nudity automatic nc-17 true see r rat film male nudity grant offer fleeting view r rat film gap vulva flap labia exist go crappy cable show schlong swing breeze clitoris sight pretentious indie movie like Brown Bunny treat site Vincent Gallo throbbing johnson trace pink visible Chloe Sevigny cry imply double standard matter nudity mentally obtuse account unavoidably obvious anatomical difference man woman genital display actress appear nude say man fact generally will female genital american film short porn explicit erotica allege double standard double standard admittedly depressing ability come term culturally inside woman body,0
"If only to avoid making this type of film in the future. This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive. The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />",avoid make type film future film interesting experiment tell cogent story.<br /><br />One feel virtuous sit touch important issue discernable motive viewer come away new perspective come mind wander invariably pointless film).<br /><br />one well spend time star window tree growing.<br /><br >,0
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo. Apart from that, what strikes me most is the endless stream of silliness. Lena Nyman has to be most annoying actress in the world. She acts so stupid and with all the nudity in this film,...it's unattractive. Comparing to Godard's film, intellectuality has been replaced with stupidity. Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place. 2/10.","film probably inspire Godard Masculin féminin urge film instead.<br /><br />The film strong element 1 realistic acting 2 impressive undeservedly good photo apart strike endless stream silliness Lena Nyman annoying actress world act stupid nudity film, unattractive compare Godard film intellectuality replace stupidity go far subject follow difference ideal French Swedish society.<br /><br />A movie time place 2/10",0
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??"" ...I was just an early teen when this smoked fish hit the U.S. I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus""). Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!!<br /><br />The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release. MILLIONS of people flocked to this stinker, thinking they were going to see a sex film...Instead, they got lots of closeups of gnarly, repulsive Swedes, on-street interviews in bland shopping malls, asinie political pretension...and feeble who-cares simulated sex scenes with saggy, pale actors.<br /><br />Cultural icon, holy grail, historic artifact..whatever this thing was, shred it, burn it, then stuff the ashes in a lead box!<br /><br />Elite esthetes still scrape to find value in its boring pseudo revolutionary political spewings..But if it weren't for the censorship scandal, it would have been ignored, then forgotten.<br /><br />Instead, the ""I Am Blank, Blank"" rhythymed title was repeated endlessly for years as a titilation for porno films (I am Curious, Lavender - for gay films, I Am Curious, Black - for blaxploitation films, etc..) and every ten years or so the thing rises from the dead, to be viewed by a new generation of suckers who want to see that ""naughty sex film"" that ""revolutionized the film industry""...<br /><br />Yeesh, avoid like the plague..Or if you MUST see it - rent the video and fast forward to the ""dirty"" parts, just to get it over with.<br /><br />","oh brother hear ridiculous film umpteen year think old Peggy Lee song <br /><br />""Is early teen smoke fish hit U.S. young theater manage sneak Goodbye Columbus screening local film museum beckon finally film old parent schleppe it!!<br /><br />the reason film condemn anonymous sand time obscenity case spark U.S. release million people flock stinker think go sex film instead get lot closeup gnarly repulsive Swedes street interview bland shopping mall asinie political pretension feeble care simulated sex scene saggy pale actors.<br /><br />cultural icon holy grail historic artifact thing shre burn stuff ash lead box!<br /><br />Elite esthetes scrape find value boring pseudo revolutionary political spewing censorship scandal ignore forgotten.<br /><br />Instead Blank Blank rhythymed title repeat endlessly year titilation porno film curious lavender gay film curious black blaxploitation film etc year thing rise dead view new generation sucker want naughty sex film revolutionize film industry"" <br /><br />Yeesh avoid like plague rent video fast forward dirty part with.<br /><br >",0
"I would put this at the top of my list of films in the category of unwatchable trash! There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you! The sex sequences, so shocking in its day, couldn't even arouse a rabbit. The so called controversial politics is strictly high school sophomore amateur night Marxism. The film is self-consciously arty in the worst sense of the term. The photography is in a harsh grainy black and white. Some scenes are out of focus or taken from the wrong angle. Even the sound is bad! And some people call this art?<br /><br />",list film category unwatchable trash film bad bad kind one unwatchable suppose like suppose good sex sequence shocking day arouse rabbit call controversial politic strictly high school sophomore amateur night Marxism film self consciously arty bad sense term photography harsh grainy black white scene focus take wrong angle sound bad people art?<br /><br >,0
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography. I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi. I could write a whole list of factual errors, but it would go on for pages. In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves. If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film. The filmmakers tried hard, but the movie seems awfully sloppy to me.",write screenplay movie obviously consult book Lucille Ball especially autobiography see mistake biopic range early year Celoron Jamestown later year Desi write list factual error page believe Lucille Ball inimitable people simply portray Lucie Arnaz Desi Jr. irate mistake film filmmaker try hard movie awfully sloppy,0
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball. Rachel York's portrayal of Lucy is absolutely awful. Lucille Ball was an astounding comedian with incredible talent. To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous. I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York. She might be a good actress in other roles but to play the role of Lucille Ball is tough. It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent. If you noticed York's portrayal of Lucy in episodes of I Love Lucy like the chocolate factory or vitavetavegamin, nothing is similar in any way-her expression, voice, or movement.<br /><br />To top it all off, Danny Pino playing Desi Arnaz is horrible. Pino does not qualify to play as Ricky. He's small and skinny, his accent is unreal, and once again, his acting is unbelievable. Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and the story is badly told. If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy. If you want to see a docudrama, ""Before the Laughter"" would be a better choice. The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this. At least, a similar aspect is shown rather than nothing.",see glimpse movie quickly notice actress play role Lucille Ball Rachel York portrayal Lucy absolutely awful Lucille Ball astounding comedian incredible talent think legend like Lucille Ball portray way movie horrendous believe actress world play well Lucy producer decide Rachel York good actress role play role Lucille Ball tough pretty hard find resemble Lucille Ball find bit similar look talent notice York portrayal Lucy episode Love Lucy like chocolate factory vitavetavegamin similar way expression voice movement.<br /><br />to Danny Pino play Desi Arnaz horrible Pino qualify play Ricky small skinny accent unreal acting unbelievable Fred Ethel similar bad character Lucy Ricky.<br /><br />Overall extremely horrible casting story badly tell people want understand real life situation Lucille Ball suggest watch A&E Biography Lucy Desi read book Lucille Ball PBS American Masters Finding Lucy want docudrama Laughter well choice casting Lucille Ball Desi Arnaz Laughter well compare similar aspect show,0
"Who are these ""They""- the actors? the filmmakers? Certainly couldn't be the audience- this is among the most air-puffed productions in existence. It's the kind of movie that looks like it was a lot of fun to shoot TOO much fun, nobody is getting any actual work done, and that almost always makes for a movie that's no fun to watch.<br /><br />Ritter dons glasses so as to hammer home his character's status as a sort of doppleganger of the bespectacled Bogdanovich; the scenes with the breezy Ms. Stratten are sweet, but have an embarrassing, look-guys-I'm-dating-the-prom-queen feel to them. Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic. In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents. (Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.) Everybody looks great, but so what? It's a movie and we can expect that much, if that's what you're looking for you'd be better off picking up a copy of Vogue.<br /><br />Oh- and it has to be mentioned that Colleen Camp thoroughly annoys, even apart from her singing, which, while competent, is wholly unconvincing... the country and western numbers are woefully mismatched with the standards on the soundtrack. Surely this is NOT what Gershwin (who wrote the song from which the movie's title is derived) had in mind; his stage musicals of the 20's may have been slight, but at least they were long on charm. ""They All Laughed"" tries to coast on its good intentions, but nobody- least of all Peter Bogdanovich - has the good sense to put on the brakes.<br /><br />Due in no small part to the tragic death of Dorothy Stratten, this movie has a special place in the heart of Mr. Bogdanovich- he even bought it back from its producers, then distributed it on his own and went bankrupt when it didn't prove popular. His rise and fall is among the more sympathetic and tragic of Hollywood stories, so there's no joy in criticizing the film... there _is_ real emotional investment in Ms. Stratten's scenes. But ""Laughed"" is a faint echo of ""The Last Picture Show"", ""Paper Moon"" or ""What's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Love"", it was a thundering confirmation of the phase from which P.B. has never emerged.<br /><br />All in all, though, the movie is harmless, only a waste of rental. I want to watch people having a good time, I'll go to the park on a sunny day. For filmic expressions of joy and love, I'll stick to Ernest Lubitsch and Jaques Demy...","they""- actor filmmaker certainly audience- air puff production existence kind movie look like lot fun shoot fun get actual work make movie fun watch.<br /><br />Ritter don glass hammer home character status sort doppleganger bespectacled Bogdanovich scene breezy Ms. Stratten sweet embarrassing look guy i'm date prom queen feel Ben Gazzara sport usual cat' get canary grin futile attempt elevate meager plot require pursue Audrey Hepburn interest narcoleptic insomnia clinic meantime bud couple respective child nepotism alert Bogdanovich daughter spew cute pick fairly disturbing pointer love observe parent Ms. Hepburn draw dignity manage rise proceedings- monumental challenge play ostensibly everybody look great movie expect look well pick copy Vogue.<br /><br />Oh- mention Colleen Camp thoroughly annoy apart singing competent wholly unconvincing country western number woefully mismatch standard soundtrack surely Gershwin write song movie title derive mind stage musical 20 slight long charm laugh try coast good intention nobody- Peter Bogdanovich good sense brakes.<br /><br />Due small tragic death Dorothy Stratten movie special place heart Mr. Bogdanovich- buy producer distribute go bankrupt prove popular rise fall sympathetic tragic Hollywood story joy criticize film real emotional investment Ms. Stratten scene laugh faint echo Picture Paper Moon Doc""- follow Daisy Miller long love thunder confirmation phase P.B. emerged.<br /><br />All movie harmless waste rental want watch people have good time park sunny day filmic expression joy love stick Ernest Lubitsch Jaques Demy",0
"This is said to be a personal film for Peter Bogdonavitch. He based it on his life but changed things around to fit the characters, who are detectives. These detectives date beautiful models and have no problem getting them. Sounds more like a millionaire playboy filmmaker than a detective, doesn't it? This entire movie was written by Peter, and it shows how out of touch with real people he was. You're supposed to write what you know, and he did that, indeed. And leaves the audience bored and confused, and jealous, for that matter. This is a curio for people who want to see Dorothy Stratten, who was murdered right after filming. But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot better and has a more ample part. In fact, Stratten's part seemed forced; added. She doesn't have a lot to do with the story, which is pretty convoluted to begin with. All in all, every character in this film is somebody that very few people can relate with, unless you're millionaire from Manhattan with beautiful supermodels at your beckon call. For the rest of us, it's an irritating snore fest. That's what happens when you're out of touch. You entertain your few friends with inside jokes, and bore all the rest.",say personal film Peter Bogdonavitch base life change thing fit character detective detective date beautiful model problem get sound like millionaire playboy filmmaker detective entire movie write Peter show touch real people suppose write know leave audience bored confused jealous matter curio people want Dorothy Stratten murder right film Patti Hanson real life marry Keith Richards model like Stratten lot well ample fact Stratten force add lot story pretty convoluted begin character film somebody people relate millionaire Manhattan beautiful supermodel beckon rest irritate snore fest happen touch entertain friend inside joke bear rest,0
