content,content_cleaned,label,predicted_label
"This movie could be used in film classes in a ""How Not to Script a B-Movie"" course. There are inherent constrictions in a B-movie: Budgets are tight, Time is precious (Scarecrow was apparently shot in 8 days) and the actors are often green and inexperienced. The one aspect you have complete control over is writing the best script you can within the limitations set before you. Scarecrow's script seems to have been written in a drunken haze. I could go through about fifteen examples of the nonsensical scripting of this movie, but I'll just mention one: The Gravedigger. The character of the gravedigger is introduced about an hour into the movie. He seemingly has no connection to any of the other characters already in the movie. He is shown with his daughter, who also has no connection to anybody else in the movie. The gravedigger is given a couple scenes to act surly in and then is killed to pad out the body count. Why give the Gravedigger a daughter? Why give the daughter a boyfriend? Why introduce them so late in the movie? Why not try to make them part of the ongoing storyline? Scarecrow doesn't seem to care.<br /><br />The ""story"" of Scarecrow goes something like this: Lester is a high school kid (played by and actor who'd I'd peg to be in his early 30's) who is picked on by the other kids. He is an artist who draws birds and has a crush on a classmate named Judy. His mom is a lush and the town whore. One of her reprobate boyfriends makes fun of his drawings (by calling him a ""faggot"" for drawing birds instead of ""monsters and cowboys."" If you have a high school student still drawing cowboys I'd think him to more likely be gay than a high school student who draws crows) and later, kills Lester, in a cornfield, under the titular scarecrow. Magically, Lester's soul goes into the scarecrow. Somehow, this transference changes Lester's soul from that of an artist into that of a wisecracking gymnast (I know some reviews have called the scarecrow a Kung-Fu scarecrow. I disagree. The scarecrow practically does a whole floor routine before jumping onto the truck during the climax of the movie). The scarecrow then goes on to kill those who tormented him, those who smoke pot in the corn field, those who dig graves, boyfriends of daughters of gravediggers, pretty much anyone who showed up on the movie set.<br /><br />The bonus feature on the DVD should be mentioned. The director (a Frenchman) does an impromptu version of rap music, admits he enjoys not having executives around on set so he can screw his wife while working and gives a quote to live by (and I'm paraphrasing): ""Life ez a bitch, but et has a great ass""<br /><br />Number of Beers I drank while watching this movie: 5 Did it help: No Number of Beers needed to enjoy this movie: Whatever it takes to get to blackout drunk level.","movie film class script B Movie course inherent constriction b movie budget tight Time precious Scarecrow apparently shoot 8 day actor green inexperienced aspect complete control write good script limitation set Scarecrow script write drunken haze example nonsensical scripting movie mention Gravedigger character gravedigger introduce hour movie seemingly connection character movie show daughter connection anybody movie gravedigger give couple scene act surly kill pad body count Gravedigger daughter daughter boyfriend introduce late movie try ongoing storyline Scarecrow care.<br /><br />the story Scarecrow go like Lester high school kid play actor peg early 30 pick kid artist draw bird crush classmate name Judy mom lush town whore reprobate boyfriend make fun drawing call faggot draw bird instead monster cowboy high school student draw cowboy think likely gay high school student draw crow later kill Lester cornfield titular scarecrow magically Lester soul go scarecrow transference change Lester soul artist wisecracking gymnast know review call scarecrow Kung Fu scarecrow disagree scarecrow practically floor routine jump truck climax movie scarecrow go kill torment smoke pot corn field dig graf boyfriend daughter gravedigger pretty show movie set.<br /><br />The bonus feature dvd mention director Frenchman impromptu version rap music admit enjoy have executive set screw wife work give quote live paraphrase life ez bitch et great ass""<br /><br />number Beers drank watch movie 5 help number Beers need enjoy movie take blackout drunk level",negative,positive
"Prom Night is about a girl named Donna (Brittany Snow) who is being chased by a psycho killer trying to kill her at her prom night. And by doing so killing her family, friends, and her enemies. <br /><br />Now before I begin let me say have you been tired of PG-13 horror movies that haven't been scary lately. Are you tired of stupid girl dialog 'Oh my god' and talking about girlish things. And are you really tired of girls in relationships and then crying. And the last thing are you tired of the US remaking Asian, Japanese, and Chinese films. That pretty much sums up Prom night but I'm still not done with the review.<br /><br />The only reason to see 'Prom night' is to crack a laugh at the kills. If not, don't see Prom night. You never see the kills an only hear screaming and you see some blood on the wall. And by the way the deaths are repeating like 24/7. So not only aren't they scary but it's obnoxious. By the time I met the cast I think I was ready to hurl. Too much girl talk, too much guy talk, and lots of 'Oh my gosh. It's our prom'. I understand it's fun but seriously is it too much to ask not to concentrate. <br /><br />If I were to put Prom Night on the list of worst films of 2008 without seeing the other films I'd be the first one too. I'm not going to be surprised if it gets released on DVD for cheap and quick. Seriously don't spend your money or the time for dull acting, cheap scares, and a 'Night to die for' when watching the film.<br /><br />1 star out of 10. (P.S. If I could give the film zero stars I would).",Prom Night girl name Donna Brittany Snow chase psycho killer try kill prom night kill family friend enemy < br /><br />Now begin let tired pg-13 horror movie scary lately tired stupid girl dialog oh god talk girlish thing tired girl relationship cry thing tired remake Asian Japanese chinese film pretty sum Prom night review.<br /><br />The reason Prom night crack laugh kill Prom night kill hear screaming blood wall way death repeat like 24/7 scary obnoxious time meet cast think ready hurl girl talk guy talk lot oh gosh prom understand fun seriously ask concentrate < br /><br />If Prom Night list bad film 2008 see film go surprised get release dvd cheap quick seriously spend money time dull act cheap scare night die watch film.<br /><br />1 star 10 P.S. film zero star,negative,positive
"When I first saw the trailer for Prom Night, I have to admit, the trailer looked good and like this would be a fun horror movie. So my friend and I saw Prom Night last night and I have to say I must be growing up because this was such a ridicules film, not to mention I am so sick and tired of the typical horror slasher movies with the loud noises as an excuse to scare people. There was no tension, the characters, how was I supposed to care about them? They had no development what-so-ever, the killer?! Oh, my God, this was very possibly the most stupid serial killer that has ever existed, I know it's a film, but why would a man who never(or at least we know of) killed any one before, kill a girl's family and friends that he's just obsessed over? I mean, was he going to kidnap her or was he going to kill her? I have no idea, because this film made no sense and is too predictable and insulting to true fans of horror.<br /><br />Donna's family was just brutally murdered by her teacher, who has become very obsessed over her, he was captured and put in jail. It's been 3 years and she's just now getting some peace in her life, she's even going to her senior prom. But the killer has escaped and still has Donna on his mind, he follows her to her prom which means bad news for her friends, and the hotel maid, and the bell boy, because it is such a good idea to kill the maid and bell boy so no one become suspicious enough to check to see where these employee's are. Donna is in big trouble because also this killer who is clearly human can apparently get into houses un-noticed and can kill people so silently, just, wow.<br /><br />I'm sorry, I really did want to love this movie, we haven't had a good slasher flick in a long time, but this was just a stupid movie that I was not impressed with. Just the situations were unbelievable and the actors were obnoxious. I know that this was a PG-13 movie, but I just love how someone was brutally stabbed to death and they only have just a little blood on their clothes? Not to mention no stab holes? I wouldn't recommend this movie for anyone unless you're a teen, this movie was made for the teenagers, not adults, and not for those who know a real horror movie, no offense to those who did enjoy this film, but I don't understand how anyone could.<br /><br />2/10",see trailer Prom Night admit trailer look good like fun horror movie friend see Prom Night night grow ridicule film mention sick tired typical horror slasher movie loud noise excuse scare people tension character suppose care development killer oh God possibly stupid serial killer exist know film man never(or know kill kill girl family friend obsess mean go kidnap go kill idea film sense predictable insulting true fan horror.<br /><br />Donna family brutally murder teacher obsessed capture jail 3 year get peace life go senior prom killer escape Donna mind follow prom mean bad news friend hotel maid bell boy good idea kill maid bell boy suspicious check employee Donna big trouble killer clearly human apparently house un noticed kill people silently wow.<br /><br />I'm sorry want love movie good slasher flick long time stupid movie impressed situation unbelievable actor obnoxious know pg-13 movie love brutally stab death little blood clothe mention stab hole recommend movie teen movie teenager adult know real horror movie offense enjoy film understand could.<br /><br />2/10,negative,positive
"Finally i thought someone is going to do justice to H.G. Wells's classic , not another version set in the wrong locale or era , but one based firmly on the book . Well it definitely follows the book pretty closely , and that is the only plus to this mess.<br /><br />This is 180 Min's (yes 3 hours) long , the book is only around 150 pages .<br /><br />If Timothy Hines had the nerve to come on here and say ""if you can do any better ..."" i would say ""yes , i could"" and i have never used a video camera or been to any sort or drama school in my life.<br /><br />I paid good money to get this crap over to the UK from the USA , do not make the same mistake as me .",finally think go justice H.G. Wells classic version set wrong locale era base firmly book definitely follow book pretty closely plus mess.<br /><br />This 180 Min yes 3 hour long book 150 page .<br /><br />If Timothy Hines nerve come well yes video camera sort drama school life.<br /><br />i pay good money crap UK USA mistake,negative,positive
"I was disgusted by this movie. No it wasn't because of the graphic sex scenes, it was because it ruined the image of Artemisia Gentileschi. This movie does not hold much truth about her and her art. It shows one piece of art work that she did (Judith Beheading Holofernese) but shows that being entered as testimony in the rape trial when she did not paint her first Judith for a year after the trial.<br /><br />I don't know if you understood this from the movie, probably not, Tassi was not a noble character. He RAPED Artemisia. It was not love, it was rape. He did not claim to accept false charges of rape to stop her from suffering while she was tortured. According to the rape transcripts he continued to claim that he never carnally knew Artemisia (aka had sex with) while she states over and over again ""It's true"".<br /><br />I encourage all of you people to go out and find about the real Artemisia and see what she is really about. Don't base all of your knowledge on this fictional movie. I encourage you to do some research, Artemisia really does have interesting story behind her and some amazing art work.<br /><br />Don't see the movie, but find out the true story of Artemisia.","disgust movie graphic sex scene ruin image Artemisia Gentileschi movie hold truth art show piece art work Judith Beheading Holofernese show enter testimony rape trial paint Judith year trial.<br /><br />i know understand movie probably Tassi noble character RAPED Artemisia love rape claim accept false charge rape stop suffer torture accord rape transcript continue claim carnally know Artemisia aka sex state true"".<br /><br />I encourage people find real Artemisia base knowledge fictional movie encourage research Artemisia interesting story amazing art work.<br /><br />don't movie find true story Artemisia",negative,positive
"Before starting to watch the show, I've heard it was great and aesthetically very interesting. What a deception, the scripts are so dumb that I am quite sure the authors are son and grandson of Scoobidoo writers. And what about the SFX and colors, they are so extreme that it is painful to watch, colors are not saturated they are over saturated, like scripts are overwritten and show is overrated. This show is like a bad pie in which a child would have put only sugar and butter thinking that because these ingredients are the best, they are sufficient. Unfortunately for this show, the only two ingredients of this show are finally vacuity and a total lack of credibility.",start watch hear great aesthetically interesting deception script dumb sure author son grandson Scoobidoo writer SFX color extreme painful watch color saturate saturate like script overwrite overrate like bad pie child sugar butter think ingredient good sufficient unfortunately ingredient finally vacuity total lack credibility,negative,positive
"I looked over the other comments and was thoroughly amused to find that clearly only people who actually worked on the movie had commented. I mean, I hate to say bad things about an amateur production, but if you make a bad movie and want to comment on it, tone it down a little. ""Groundbreaking"" is a little over the top. This is a Boston based college production that doesn't even achieve the level of most amateur college film. It's what you would expect a bunch of kids to do. A silly action film without much creativity. It's pretty funny if you're willing to poke fun at it. Not something you will ever see unless you are a student at Emerson college.",look comment thoroughly amuse find clearly people actually work movie comment mean hate bad thing amateur production bad movie want comment tone little groundbreaking little Boston base college production achieve level amateur college film expect bunch kid silly action film creativity pretty funny willing poke fun student Emerson college,negative,positive
"The Good Earth is perhaps the most boring film I've seen in my life. The plot is slow and lacking. The acting is borderline comical. While I love Paul Muni, I can now say i have seen a film that does not do his true ability justice. The only saving grace I found with this film is it's production value. The use of hundreds of extras throughout the film creates a very believable and interesting environment. Also, the beautiful effects used to create the illusion of millions of wasps sells easily and was revolutionary at the time. Other than the production value I can say little else that is good or entertaining about this film.",Good Earth boring film see life plot slow lacking acting borderline comical love Paul Muni see film true ability justice save grace find film production value use hundred extra film create believable interesting environment beautiful effect create illusion million wasp sell easily revolutionary time production value little good entertaining film,negative,positive
"I rated this movie a 1 since the plot is so unbelievable unbelievable. Judge for yourself. Be warned, the following will not only give away the plot, but will also spoil your appetite for watching the movie.<br /><br />A computer virus, designed by a frustrated nerd, sends out a code through television screens and computer monitors. When the code - in the form of light - enters the eye it can access the 'electrical system' of your body. What it does is forcing the body cells into excretion of calcium. Within seconds after infection the patient reaches for his neck, develops tunnel vision, his skin will turn white of the calcium, after which he falls and his hand and scull will crack in a cloud of chalk. <br /><br />This virus is very intelligent. When it finds out that a blind computer expert is trying to disassemble the code with a braille output device - operated by hands - the device is set on a very high voltage, which causes severe burning wounds on the skin of the expert's head. The virus also senses aggression against remote controls and the keyboard of an ATM. Fortunately it could be stopped by throwing over outdated desktop pc's in a rack and electrocuting the nerd with his back on a broken computer and his feet in some spilled water.<br /><br />Oh dear...",rat movie 1 plot unbelievable unbelievable Judge warn following away plot spoil appetite watch movie.<br /><br />A computer virus design frustrated nerd send code television screen computer monitor code form light enter eye access electrical system body force body cell excretion calcium second infection patient reach neck develop tunnel vision skin turn white calcium fall hand scull crack cloud chalk < br /><br />This virus intelligent find blind computer expert try disassemble code braille output device operate hand device set high voltage cause severe burning wound skin expert head virus sense aggression remote control keyboard ATM fortunately stop throw outdated desktop pc rack electrocute nerd broken computer foot spill water.<br /><br />oh dear,negative,positive
"It was 9:30 PM last night at my friend's camping trailer and we were so hyped to watch South Park (a new episode). The thing is, in my country, South Park airs at 10:30 PM and we decided to kill time by watching the show now airing, Father of the Pride. I'll start by saying that I have only watched to episodes. The first time I watched it, I found it unfunny and crude for nothing, so I thought ''Holy sh*t, I have a football game early tomorrow, so I have to stop watching stupid cartoons''. But yesterday, I tried to give Father of the Pride a second chance. I find that it's a complete rip-off of The Simpsons, only replacing yellow human characters by lions instead.<br /><br />The second thing is I wonder why it got it's TV-14 rating. I find The Simpsons a lot more vulgar, and the only real vulgarity in this show is a few homosexual (unfunny) jokes. The Simpsons is also a lot more violent (Halloween specials) and crude. I also heard that the creator of the series has also directed Shrek 2, well I've got news for him: Shrek 2 was way better and I think he stayed too much in the family thematic. However, I must admit that Father of the Pride did make me smile (even burst out laughing once) three or four times.<br /><br />All in all, I don't mind Father of the Pride. I don't hate it, but I don't like either. I've seen way better from ''The Simpsons''.<br /><br />3.5/10",9:30 pm night friend camping trailer hyped watch South Park new episode thing country South Park air 10:30 pm decide kill time watch air Father Pride start say watch episode time watch find unfunny crude think Holy sh*t football game early tomorrow stop watch stupid cartoon yesterday try Father Pride second chance find complete rip Simpsons replace yellow human character lion instead.<br /><br />the second thing wonder get tv-14 rating find Simpsons lot vulgar real vulgarity homosexual unfunny joke Simpsons lot violent Halloween special crude hear creator series direct Shrek 2 get news shrek 2 way well think stay family thematic admit Father Pride smile burst laugh times.<br /><br />All mind Father Pride hate like see way well Simpsons''.<br /><br />3.5/10,negative,positive
