content,content_cleaned,label
"Wow-this one sucks. I'm gonna sum it up as quickly as possible. <br /><br />A count invites 4 naive sluts back to his castle. A bunch of nothing happens for a long time. Some lame and un-erotic soft-core sex scenes happen. Some girls get their heads cut off (off-screen)-The End.<br /><br />The only things going for this one are the decent looking sets and costumes, some bad dubbing which leads to some unintentionally funny dialogue, and a few brief nudie shots. And believe me-those things are not enough to redeem the 90-minutes of tedium that this film is. In fact-the best part is the tacked on beginning from the distributor that features some slutty goth chicks covered in blood and showing their tits-and again-this is definitely not worth the price of admission for this garbage. As everyone else has noted- the title of the film is completely nonsensical-as there's absolutely no bloodsucking, nor dancing of any sort in the film at all. It may as well have been called 'The Goat-Raper Leads the Circle-Jerk'-and at least then it would have had a better title that also pertains to nothing in the film. An accurate title would have been '90 Minutes of Torture'-another alluring title that would have at least been truthful...for the viewer. Honestly-the trailer that's on the disc shows all the best parts (and i use the term 'best' extremely loosely...) so I highly suggest watching that instead if you're still curious.  I can't imagine anyone liking this wreck of a film-please take my advice and leave this one on the shelf. 2/10 ",wow suck go to sum quickly possible   < br /><br />A count invite 4 naive slut castle bunch happen long time lame un erotic soft core sex scene happen girl head cut screen)-The End.<br /><br />The thing go decent look set costume bad dubbing lead unintentionally funny dialogue brief nudie shot believe thing redeem 90 minute tedium film fact good tack begin distributor feature slutty goth chick cover blood show tit definitely worth price admission garbage noted- title film completely nonsensical absolutely bloodsucking dancing sort film call Goat Raper lead Circle Jerk'-and well title pertain film accurate title 90 minute torture'-another alluring title truthful viewer honestly trailer disc show good part use term good extremely loosely highly suggest watch instead curious   imagine like wreck film advice leave shelf 2/10  ,0
"Back in the 1970s, WPIX ran ""The Adventures of Superman"" every weekday afternoon for quite a few years. Every once in a while, we'd get a treat when they would preempt neighboring shows to air ""Superman and the Mole Men."" I always looked forward to those days. Watching it recently, I was surprised at just how bad it really was.<br /><br />It wasn't bad because of the special effects, or lack thereof. True, George Reeves' Superman costume was pretty bad, the edges of the foam padding used to make him look more imposing being plainly visible. And true, the Mole Men's costumes were even worse. What was supposed to be a furry covering wouldn't have fooled a ten year-old, since the zippers, sleeve hems and badly pilling fabric badly tailored into baggy costumes were all painfully obvious. But these were forgivable shortcomings.<br /><br />No, what made it bad were the contrived plot devices. Time and again, Superman failed to do anything to keep the situation from deteriorating. A lynch mob is searching for the creatures? Rather than round up the hysterical crowd or search for the creatures himself, he stands around explaining the dangers of the situation to Lois and the PR man. The creatures are cornered? Again, he stands around watching and talking but doesn't save them until they're shot. Luke Benson, the town's rabble-rouser, shoots at him? Attempted murder to any reasonable person, but Superman releases the man over and over to cause more problems. Superman had quite a few opportunities to nip the problem in the bud, but never once took advantage of them.<br /><br />That said, both George Reeves and Phyllis Coates played their characters well, seemingly instantly comfortable in the roles. If only they had been given a better script to work with.",1970 WPIX run Adventures Superman weekday afternoon year treat preempt neighboring show air Superman Mole Men look forward day watch recently surprised bad was.<br /><br />it bad special effect lack thereof true George Reeves Superman costume pretty bad edge foam padding look impose plainly visible true Mole Men costume bad suppose furry covering fool year old zipper sleeve hem badly pille fabric badly tailor baggy costume painfully obvious forgivable shortcomings.<br /><br />No bad contrived plot device time Superman fail situation deteriorate lynch mob search creature round hysterical crowd search creature stand explain danger situation Lois pr man creature cornered stand watch talk save shoot Luke Benson town rabble rouser shoot attempt murder reasonable person Superman release man cause problem Superman opportunity nip problem bud take advantage them.<br /><br />That say George Reeves Phyllis Coates play character seemingly instantly comfortable role give well script work,0
"Not only is it a disgustingly made low-budget bad-acted movie, but the plot itself is just STUPID!!!<br /><br />A mystic man that eats women? (And by the looks, not virgin ones)<br /><br />Ridiculous!!! If you´ve got nothing better to do (like sleeping) you should watch this. Yeah right.",disgustingly low budget bad act movie plot STUPID!!!<br /><br />A mystic man eat woman look virgin ones)<br /><br />Ridiculous you´ve get well like sleep watch yeah right,0
"""Valentine"" is another horror movie to add to the stalk and slash movie list (think ""Halloween"", ""Friday the 13th"", ""Scream"", and ""I Know What You Did Last Summer""). It certainly isn't as good as those movies that I have listed about, but it's better than most of the ripoffs that came out after the first ""Friday the 13th"" film. One of those films was the 1981 Canadian made ""My Bloody Valentine"", which I hated alot. ""Valentine"" is a better film than that one, but it's not saying much. The plot: a nerdy young boy is teased and pranked by a couple of his classmates at the beginning of the film. Then the film moves years later when those classmates are all grown up, then they're picked off one-by-one. The killer is presumed to be the young boy now all grown up looking for revenge. But is it him? Or could it be somebody else? ""Valentine"" has an attractive cast which includes Denise Richards, David Boreanaz, Marley Shelton, Jessica Capshaw, and Katherine Heigl. They do what they can with the material they've got, but a lackluster script doesn't really do them any justice. There are some scary moments throughout, however. <br /><br />** (out of four)",Valentine horror movie add stalk slash movie list think Halloween Friday 13th scream know Summer certainly good movie list well ripoff come Friday 13th film film 1981 Canadian Bloody Valentine hat alot Valentine well film say plot nerdy young boy tease prank couple classmate beginning film film move year later classmate grow pick killer presume young boy grow look revenge somebody Valentine attractive cast include Denise Richards David Boreanaz Marley Shelton Jessica Capshaw Katherine Heigl material get lackluster script justice scary moment < br /><br >,0
"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.<br /><br />'so you're saying that the software virus has become a real virus that can kill people - that may be medically possible but not possible from my system' <br /><br />'i'm having to write some new virus software of my own to trap it - it may take some time'<br /><br />'but it's not going after software, it's killing people'<br /><br />watch out for the 'i'm into virology' love moment and perhaps first ever film plot to feature death by braille keyboard",Robert Wagner evil boss Digicron telecommunications company virus kill people.<br /><br />'so say software virus real virus kill people medically possible possible system < br /><br />'i'm have write new virus software trap time'<br /><br />'but go software kill people'<br /><br />watch virology love moment film plot feature death braille keyboard,0
"Garson Kanin wrote and directed this look at ""modern day"" Las Vegas and the gap between generations, his first directorial effort since the 1940s! David Janssen is somewhat miscast as a big-shot casino owner who reunites with his son (Robert Drivas, who looks disconcertingly like an older Jason Bateman). Janssen approaches every scene the same way: defensively, with a chip on his shoulder. Playing this role cool and laid-back is asking too much from Janssen, who barks at everyone like a grouchy put-upon husband (he even chews out Don Rickles and makes him cry!). His son, a ne'er-do-well in search of his own identity, makes hip comments about how young people look down on Vegas (give them another ten years), and his disapproval of Dad's lifestyle causes friction. Brenda Vaccaro is cute as a self-conscious secretary and Edy Willaims has a fun bit as a showgirl at an audition. Unfortunately, ""Where It's At"" doesn't have much else going for it other than the now-dated ruminations on ethics between adults and their kids, some quick T&A shots and amusingly jaded satirical bits on the high-stakes world of gambling--most of which has been covered by now, ad nauseum. ** from ****",Garson Kanin write direct look modern day Las Vegas gap generation directorial effort 1940 David Janssen somewhat miscast big shot casino owner reunite son Robert Drivas look disconcertingly like old Jason Bateman Janssen approach scene way defensively chip shoulder play role cool lay ask Janssen bark like grouchy husband chew Don Rickles make cry son ne'er search identity make hip comment young people look Vegas year disapproval Dad lifestyle cause friction Brenda Vaccaro cute self conscious secretary Edy Willaims fun bit showgirl audition unfortunately go date rumination ethic adult kid quick t&a shot amusingly jade satirical bit high stake world gambling cover ad nauseum,0
"Devil Hunter gained notoriety for the fact that it's on the DPP 'Video Nasty' list, but it really needn't have been. Many films on the list where there for God (and DPP) only known reasons, and while this isn't the tamest of the bunch; there isn't a lot here that warrants banning...which is a shame because I never would have sat through it where it not for the fact that it's on 'the shopping list'. The plot actually gives the film a decent base - or at least more of a decent base than most cannibal films - and it follows an actress who is kidnapped and dragged off into the Amazon jungle. A hunter is then hired to find her, but along the way he has to brave the natives, lead by a man who calls himself ""The Devil"" (hence the title). The film basically just plods along for eighty five minutes and there really aren't many scenes of interest. It's a real shame that Jess Franco ended up making films like this because the man clearly has talent; as seen by films such as The Diabolical Dr Z, Venus in Furs, Faceless and She Kills in Ecstasy, but unfortunately his good films are just gems amongst heaps of crap and Devil Hunter is very much a part of the crap. I saw this film purely because I want to be able to say I've seen everything on the DPP's list (just two more to go!), and I'm guessing that's why most other people who have seen it, saw it. But if you're not on the lookout for Nasties; there really is no reason to bother with this one.",Devil Hunter gain notoriety fact DPP Video Nasty list need film list God DPP know reason tamest bunch lot warrant ban shame sit fact shopping list plot actually give film decent base decent base cannibal film follow actress kidnap drag Amazon jungle hunter hire find way brave native lead man call Devil title film basically plod eighty minute scene interest real shame Jess Franco end make film like man clearly talent see film Diabolical Dr Z Venus Furs Faceless Kills Ecstasy unfortunately good film gem heap crap Devil Hunter crap see film purely want able see DPP list guess people see see lookout nastie reason bother,0
"If you look at Corey Large's information here on IMDb, apparently there's a movie called ""Reload"" in production (as of June '08) in which he's playing a character named Sebastian Cole.<br /><br />First of all, how does such a crappy movie ever earn a sequel ... and second, didn't Sebastian get killed at the end of ""Loaded""?<br /><br />I watched this in the wee hours of the morning when I was battling insomnia, and so I was drifting in and out while it was on. I'm sure I missed some plot points, but overall, it seemed really weak. Large's performance was (for me) one of the stronger parts of the film. I'm also a bit surprised at all the people commenting on the beautiful girls, since I thought the actress playing Brooke was pretty, but not exceptional.","look Corey Large information IMDb apparently movie call Reload production June 08 play character name Sebastian Cole.<br /><br />First crappy movie earn sequel second Sebastian kill end loaded""?<br /><br />i watch wee hour morning battle insomnia drift sure miss plot point overall weak large performance strong part film bit surprised people comment beautiful girl think actress play Brooke pretty exceptional",0
"Ladies and Gentlemen,please don't get fooled by ""A Stanley Kubrick"" film tag.This is a very bad film which unfortunately has been hailed as one of the deadliest horror films ever made.Horror films should create such a fear that during nights people should shiver their hearts out while thinking about a true horror film.In Shining,there is no real horror at all but what we find instead is just a naive,foolish attempt made to create chilling horror.Everyone knows as to how good the attempts are if they are different from reality.All that is good in the film is the view of the icy valley. The hotel where most of the actors were lodged appears good too.A word about the actors Jack Nicholson looks like a lost,lazy soul who is never really sure of what he is supposed to do.There is not much to be said of a bald,colored actor who for the most of times is busy pampering a kid actor.No need to blame the bad weather for the tragedy.It cannot be avoided as the film has been made and poor Kubrick is not alive to make any changes.",lady Gentlemen fool Stanley Kubrick film tag bad film unfortunately hail deadly horror film horror film create fear night people shiver heart think true horror film shin real horror find instead naive foolish attempt create chilling horror know good attempt different reality good film view icy valley hotel actor lodge appear good word actor Jack Nicholson look like lost lazy soul sure suppose say bald colored actor time busy pamper kid actor need blame bad weather tragedy avoid film poor Kubrick alive change,0
"It as absolutely incredible to me that anyone could make the comment that this film is not preachy. It is not only oppressively preachy, but absurd, stagebound, dramatically straight-jacketed, and painfully overwrought. Watching it, one feels like an 8 year old child being punished by having to write ""I will not become a fascist"" on the blackboard 100 times.<br /><br />Now I understand that it was made during the height of WW2, and was intended to be a brave condemnation of Hitler and the terrible suffering he brought about, (which anyone would whole-heartedly applaud) and I'm sure it accurately captured the mood of the day. But it is presented in such an immature, over-obvious, sledgehammer way, it fails abysmally as a work of art.<br /><br />The only good performances here are from Paul Lukas, who brings sincerity and intensity to his role as a quietly heroic anti-fascist; and Lucile Watson as the amusingly ill-mannered rich grandmother who slowly comes to realize how dangerous the world has become. Though their rootless upbringing has subjected them to all kinds of hardships, the children are ridiculously shown as robotically well-behaved little snips. They do not even remotely resemble real human beings. And Bette Davis, a great actress, here is so one dimensionally noble I cringed every time she was on screen. Her every word, her every gesture is meant to convey how SUPPORTIVE and UNDERSTANDING she is of the SACRIFICES her husband has to make and the great CAUSE he is fighting for, that she must've been wired to receive a painful electric shock if she dared allowed any hint of doubt or shading to surface in her portrayal.<br /><br />So yes, this is a very IMPORTANT film, just not a very good one.",absolutely incredible comment film preachy oppressively preachy absurd stagebound dramatically straight jacket painfully overwrought watch feel like 8 year old child punish have write fascist blackboard 100 times.<br /><br />now understand height WW2 intend brave condemnation Hitler terrible suffering bring heartedly applaud sure accurately capture mood day present immature obvious sledgehammer way fail abysmally work art.<br /><br />The good performance Paul Lukas bring sincerity intensity role quietly heroic anti fascist Lucile Watson amusingly ill mannered rich grandmother slowly come realize dangerous world rootless upbringing subject kind hardship child ridiculously show robotically behave little snip remotely resemble real human being Bette Davis great actress dimensionally noble cringe time screen word gesture mean convey SUPPORTIVE understanding sacrifice husband great CAUSE fight wire receive painful electric shock dare allow hint doubt shade surface portrayal.<br /><br />So yes important film good,0
